sample,reg,snr,repeat,method,path,rms,peak,high_to_low_mid_energy,temporal_contrast_db
5,reg005,10,7,E$\ell_p$RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_7/raw_BCI_ELp_p=1.0.wav,0.005380438592484599,0.058319091796875,0.5178253803930702,0.8800333531598298
5,reg005,10,10,E$\ell_p$RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_10/raw_BCI_ELp_p=1.0.wav,0.005380523581593773,0.060150146484375,0.515631554474864,0.845196421133919
5,reg005,10,15,E$\ell_p$RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_15/raw_BCI_ELp_p=1.0.wav,0.005381503988747277,0.063690185546875,0.5106775948601914,0.7869711485492621
5,reg005,10,20,E$\ell_p$RNMCFLMS,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_20/raw_BCI_ELp_p=1.0.wav,0.005381821138179563,0.0643310546875,0.4768070895743106,0.7476066366589965
5,reg005,10,1,Oracle MINT,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_1/raw_Oracle_MINT.wav,0.005382929243622384,0.033843994140625,0.041730378723228344,0.8867044024947524
5,reg005,10,3,Oracle MINT,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_3/raw_Oracle_MINT.wav,0.0053826637648053816,0.033050537109375,0.04195484313458421,0.8915384959606696
5,reg005,10,5,Oracle MINT,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_5/raw_Oracle_MINT.wav,0.0053822791612566905,0.03497314453125,0.04176595160408118,0.8963170808022353
5,reg005,10,7,Oracle MINT,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_7/raw_Oracle_MINT.wav,0.005380559388684452,0.03363037109375,0.04203975514934047,0.8826446953935907
5,reg005,10,10,Oracle MINT,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_10/raw_Oracle_MINT.wav,0.005380636976387583,0.03546142578125,0.04207543128420937,0.9131336217811296
5,reg005,10,15,Oracle MINT,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_15/raw_Oracle_MINT.wav,0.0053815286232277056,0.036102294921875,0.04178739437227381,0.881999064461363
5,reg005,10,20,Oracle MINT,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/reg005/snr10/repeat_20/raw_Oracle_MINT.wav,0.005381930155687321,0.034759521484375,0.041500933174837454,0.8600460046934901
5,reg005,10,1,WPE,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/baselines/raw5_WPE.wav,0.005132892649681085,0.044952392578125,0.07554255500986036,1.8052108947425354
5,reg005,10,3,WPE,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/baselines/raw5_WPE.wav,0.005132892649681085,0.044952392578125,0.07554255500986036,1.8052108947425354
5,reg005,10,5,WPE,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/baselines/raw5_WPE.wav,0.005132892649681085,0.044952392578125,0.07554255500986036,1.8052108947425354
5,reg005,10,7,WPE,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/baselines/raw5_WPE.wav,0.005132892649681085,0.044952392578125,0.07554255500986036,1.8052108947425354
5,reg005,10,10,WPE,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/baselines/raw5_WPE.wav,0.005132892649681085,0.044952392578125,0.07554255500986036,1.8052108947425354
5,reg005,10,15,WPE,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/baselines/raw5_WPE.wav,0.005132892649681085,0.044952392578125,0.07554255500986036,1.8052108947425354
5,reg005,10,20,WPE,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/baselines/raw5_WPE.wav,0.005132892649681085,0.044952392578125,0.07554255500986036,1.8052108947425354
5,reg005,10,1,GWPE,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/baselines/raw5_GWPE_K50_d2_i2.wav,0.005132822001329937,0.04339599609375,0.07040085954287918,1.9114575973499388
5,reg005,10,3,GWPE,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/baselines/raw5_GWPE_K50_d2_i2.wav,0.005132822001329937,0.04339599609375,0.07040085954287918,1.9114575973499388
5,reg005,10,5,GWPE,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/baselines/raw5_GWPE_K50_d2_i2.wav,0.005132822001329937,0.04339599609375,0.07040085954287918,1.9114575973499388
5,reg005,10,7,GWPE,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/baselines/raw5_GWPE_K50_d2_i2.wav,0.005132822001329937,0.04339599609375,0.07040085954287918,1.9114575973499388
5,reg005,10,10,GWPE,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/baselines/raw5_GWPE_K50_d2_i2.wav,0.005132822001329937,0.04339599609375,0.07040085954287918,1.9114575973499388
5,reg005,10,15,GWPE,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/baselines/raw5_GWPE_K50_d2_i2.wav,0.005132822001329937,0.04339599609375,0.07040085954287918,1.9114575973499388
5,reg005,10,20,GWPE,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT/sample5/baselines/raw5_GWPE_K50_d2_i2.wav,0.005132822001329937,0.04339599609375,0.07040085954287918,1.9114575973499388
