sample,reg,snr,repeat,method,path,rms,peak,high_to_low_mid_energy,temporal_contrast_db
5,reg005,10,3,SS+Oracle MINT,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_3/raw_SpecSub_Oracle_MINT.wav,0.005382623198418413,0.03399658203125,0.03133240280876174,0.9317043625725986
5,reg005,10,5,SS+Oracle MINT,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_5/raw_SpecSub_Oracle_MINT.wav,0.005382302243532981,0.035919189453125,0.031157761490366587,0.9260303973045465
5,reg005,10,7,SS+Oracle MINT,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_7/raw_SpecSub_Oracle_MINT.wav,0.005380529474813166,0.034942626953125,0.031421502503713325,0.9176279953766071
5,reg005,10,10,SS+Oracle MINT,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_10/raw_SpecSub_Oracle_MINT.wav,0.0053806112127489395,0.0361328125,0.03136231787235867,0.9403354537938313
5,reg005,10,15,SS+Oracle MINT,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_15/raw_SpecSub_Oracle_MINT.wav,0.005381520002172882,0.03717041015625,0.031156796643147622,0.919826233275223
5,reg005,10,20,SS+Oracle MINT,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/repeat_20/raw_SpecSub_Oracle_MINT.wav,0.005381969049303065,0.03533935546875,0.030975919393660803,0.9003125061836088
5,reg005,10,1,SS+WPE,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/baselines/raw_SpecSub_WPE.wav,0.005393473663555504,0.046630859375,0.08770499858857,1.219477258625744
5,reg005,10,3,SS+WPE,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/baselines/raw_SpecSub_WPE.wav,0.005393473663555504,0.046630859375,0.08770499858857,1.219477258625744
5,reg005,10,5,SS+WPE,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/baselines/raw_SpecSub_WPE.wav,0.005393473663555504,0.046630859375,0.08770499858857,1.219477258625744
5,reg005,10,7,SS+WPE,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/baselines/raw_SpecSub_WPE.wav,0.005393473663555504,0.046630859375,0.08770499858857,1.219477258625744
5,reg005,10,10,SS+WPE,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/baselines/raw_SpecSub_WPE.wav,0.005393473663555504,0.046630859375,0.08770499858857,1.219477258625744
5,reg005,10,15,SS+WPE,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/baselines/raw_SpecSub_WPE.wav,0.005393473663555504,0.046630859375,0.08770499858857,1.219477258625744
5,reg005,10,20,SS+WPE,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/baselines/raw_SpecSub_WPE.wav,0.005393473663555504,0.046630859375,0.08770499858857,1.219477258625744
5,reg005,10,1,SS+GWPE,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/baselines/raw_SpecSub_GWPE_K50_d2_i2.wav,0.005372578461762064,0.04449462890625,0.0762368700169299,1.0699542244802436
5,reg005,10,3,SS+GWPE,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/baselines/raw_SpecSub_GWPE_K50_d2_i2.wav,0.005372578461762064,0.04449462890625,0.0762368700169299,1.0699542244802436
5,reg005,10,5,SS+GWPE,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/baselines/raw_SpecSub_GWPE_K50_d2_i2.wav,0.005372578461762064,0.04449462890625,0.0762368700169299,1.0699542244802436
5,reg005,10,7,SS+GWPE,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/baselines/raw_SpecSub_GWPE_K50_d2_i2.wav,0.005372578461762064,0.04449462890625,0.0762368700169299,1.0699542244802436
5,reg005,10,10,SS+GWPE,results/repeat_parameter_experiments/plots_and_aggregates/floor4_repeat_TIMIT+SS/sample5/reg005/snr10/baselines/raw_SpecSub_GWPE_K50_d2_i2.wav,0.005372578461762064,0.04449462890625,0.0762368700169299,1.0699542244802436
